route,origin_code,destination_code,flight_count,airline_count,airlines,min_economy_fare,max_economy_fare,avg_duration_hours
New York to Sydney,JFK,SYD,5,3,"Emirates, British Airways, Air India",271,630,8.2
Delhi to London,DEL,LHR,5,4,"American Airlines, Air India, Qantas, Air France",361,606,8.5
Los Angeles to New York,LAX,JFK,4,3,"United Airlines, American Airlines, Air India",150,290,2.5
Chicago to Los Angeles,ORD,LAX,4,4,"Japan Airlines, Singapore Airlines, United Airlines, American Airlines",105,298,1.9
Singapore to Tokyo,SIN,HND,4,3,"Japan Airlines, United Airlines, Delta Air Lines",425,821,10.1
London to Los Angeles,LHR,LAX,4,4,"American Airlines, Delta Air Lines, Qantas, Air France",525,787,9.5
Chicago to Singapore,ORD,SIN,4,4,"Emirates, United Airlines, Qantas, Air France",391,793,9.7
Tokyo to Singapore,HND,SIN,4,3,"Japan Airlines, Singapore Airlines, Emirates",245,758,9.3
Paris to Los Angeles,CDG,LAX,4,3,"Delta Air Lines, British Airways, Air India",306,881,8.5
Paris to Delhi,CDG,DEL,4,3,"Japan Airlines, United Airlines, Air India",592,841,11.7
Paris to New York,CDG,JFK,4,3,"Japan Airlines, Singapore Airlines, Emirates",529,777,9.6
Sydney to London,SYD,LHR,4,4,"Japan Airlines, American Airlines, Qantas, Air India",232,822,7.8
Los Angeles to Delhi,LAX,DEL,4,3,"Japan Airlines, Emirates, American Airlines",274,873,11.4
New York to Delhi,JFK,DEL,4,3,"Singapore Airlines, United Airlines, Delta Air Lines",298,814,10.3
Sydney to Delhi,SYD,DEL,4,3,"Delta Air Lines, Qantas, Air France",218,795,10.0
Tokyo to Los Angeles,HND,LAX,3,3,"United Airlines, Air India, Air France",602,847,12.1
New York to Singapore,JFK,SIN,3,3,"Singapore Airlines, United Airlines, British Airways",542,818,12.2
Delhi to Tokyo,DEL,HND,3,3,"Japan Airlines, Singapore Airlines, British Airways",394,708,10.2
Chicago to Tokyo,ORD,HND,3,3,"Emirates, British Airways, Air France",322,778,8.4
Tokyo to New York,HND,JFK,3,2,"Delta Air Lines, Qantas",267,772,8.4
Singapore to Dubai,SIN,DXB,3,2,"American Airlines, Air India",498,733,9.8
Los Angeles to Paris,LAX,CDG,3,3,"Japan Airlines, Singapore Airlines, American Airlines",305,660,8.0
Los Angeles to Singapore,LAX,SIN,2,2,"Delta Air Lines, Air France",418,557,7.2
Dubai to Tokyo,DXB,HND,2,2,"British Airways, Air France",406,552,6.9
Singapore to Los Angeles,SIN,LAX,2,2,"Japan Airlines, Emirates",530,765,11.0
Chicago to Delhi,ORD,DEL,2,2,"Singapore Airlines, American Airlines",487,759,10.5
London to Paris,LHR,CDG,2,2,"Japan Airlines, Qantas",704,748,12.3
Dubai to Delhi,DXB,DEL,2,2,"United Airlines, Delta Air Lines",317,661,7.6
Chicago to Dubai,ORD,DXB,1,1,Singapore Airlines,685,685,12.8
Los Angeles to Dubai,LAX,DXB,1,1,Japan Airlines,678,678,12.0
Chicago to London,ORD,LHR,1,1,American Airlines,710,710,12.7
Delhi to Los Angeles,DEL,LAX,1,1,Qantas,467,467,7.8
