id,flight_number,airline_code,airline_name,origin_code,origin_name,origin_city,origin_country,destination_code,destination_name,destination_city,destination_country,departure_datetime,arrival_datetime,duration,aircraft_type,aircraft_name,status,total_seats,available_seats,economy_fare,premium_economy_fare,business_fare,first_fare
F00056,DL561,DL,Delta Air Lines,DXB,Dubai International Airport,Dubai,UAE,ORD,O'Hare International Airport,Chicago,USA,2025-06-19 15:15,2025-06-19 23:30,8h 8m,A330,Airbus A330,Scheduled,290,41,518,777,1295,2072
F00057,AA968,AA,American Airlines,CDG,Charles de Gaulle Airport,Paris,France,DXB,Dubai International Airport,Dubai,UAE,2025-07-09 05:15,2025-07-09 09:32,4h 16m,A380,Airbus A380,In Air,525,400,388,582,970,1552
F00058,SQ429,SQ,Singapore Airlines,LHR,Heathrow Airport,London,UK,SIN,Changi Airport,Singapore,Singapore,2025-07-08 00:00,2025-07-08 04:28,4h 55m,B777,Boeing 777,Boarding,300,294,387,580,967,1548
F00059,DL454,DL,Delta Air Lines,HND,Haneda Airport,Tokyo,Japan,CDG,Charles de Gaulle Airport,Paris,France,2025-07-06 19:45,2025-07-07 05:17,9h 57m,B777,Boeing 777,Scheduled,300,291,548,822,1370,2192
F00060,BA546,BA,British Airways,SIN,Changi Airport,Singapore,Singapore,ORD,O'Hare International Airport,Chicago,USA,2025-06-15 04:15,2025-06-15 08:22,4h 51m,B737,Boeing 737,Scheduled,180,166,329,493,822,1316
F00061,EK250,EK,Emirates,JFK,John F. Kennedy International Airport,New York,USA,CDG,Charles de Gaulle Airport,Paris,France,2025-06-20 19:45,2025-06-21 09:54,14h 37m,A320,Airbus A320,Scheduled,180,72,797,1195,1992,3188
F00062,SQ629,SQ,Singapore Airlines,DXB,Dubai International Airport,Dubai,UAE,LHR,Heathrow Airport,London,UK,2025-07-03 11:00,2025-07-03 14:07,3h 6m,B787,Boeing 787,Scheduled,250,58,349,523,872,1396
F00063,SQ370,SQ,Singapore Airlines,JFK,John F. Kennedy International Airport,New York,USA,HND,Haneda Airport,Tokyo,Japan,2025-06-30 06:00,2025-06-30 16:51,10h 59m,B777,Boeing 777,Scheduled,300,169,653,979,1632,2612
F00064,AA870,AA,American Airlines,DXB,Dubai International Airport,Dubai,UAE,JFK,John F. Kennedy International Airport,New York,USA,2025-07-02 11:15,2025-07-02 23:26,12h 52m,B787,Boeing 787,In Air,250,232,689,1033,1722,2756
F00065,AF391,AF,Air France,SYD,Sydney Airport,Sydney,Australia,LAX,Los Angeles International Airport,Los Angeles,USA,2025-07-11 09:15,2025-07-11 23:53,14h 22m,B787,Boeing 787,Scheduled,250,38,880,1320,2200,3520
F00066,SQ641,SQ,Singapore Airlines,JFK,John F. Kennedy International Airport,New York,USA,DEL,Indira Gandhi International Airport,Delhi,India,2025-06-30 17:45,2025-06-30 21:53,4h 53m,A330,Airbus A330,Scheduled,290,38,298,447,745,1192
F00067,JL874,JL,Japan Airlines,LAX,Los Angeles International Airport,Los Angeles,USA,SYD,Sydney Airport,Sydney,Australia,2025-06-30 01:30,2025-06-30 14:53,13h 42m,B747,Boeing 747,Scheduled,410,182,786,1179,1965,3144
F00068,UA751,UA,United Airlines,DEL,Indira Gandhi International Airport,Delhi,India,ORD,O'Hare International Airport,Chicago,USA,2025-07-09 20:30,2025-07-10 02:20,5h 5m,A350,Airbus A350,Scheduled,325,284,343,514,857,1372
F00069,DL286,DL,Delta Air Lines,ORD,O'Hare International Airport,Chicago,USA,CDG,Charles de Gaulle Airport,Paris,France,2025-06-26 12:00,2025-06-26 17:17,5h 46m,A350,Airbus A350,In Air,325,192,412,618,1030,1648
F00070,SQ858,SQ,Singapore Airlines,HND,Haneda Airport,Tokyo,Japan,SIN,Changi Airport,Singapore,Singapore,2025-07-05 13:30,2025-07-05 16:56,3h 38m,A330,Airbus A330,Scheduled,290,43,245,367,612,980
F00071,JL868,JL,Japan Airlines,LHR,Heathrow Airport,London,UK,JFK,John F. Kennedy International Airport,New York,USA,2025-07-06 10:30,2025-07-06 18:25,7h 1m,B737,Boeing 737,Delayed,180,150,405,607,1012,1620
F00072,EK264,EK,Emirates,DXB,Dubai International Airport,Dubai,UAE,JFK,John F. Kennedy International Airport,New York,USA,2025-06-20 20:30,2025-06-21 06:41,10h 15m,B747,Boeing 747,Scheduled,410,267,636,954,1590,2544
F00073,AI400,AI,Air India,SYD,Sydney Airport,Sydney,Australia,LHR,Heathrow Airport,London,UK,2025-07-02 06:00,2025-07-02 10:12,4h 9m,A350,Airbus A350,Cancelled,325,287,252,378,630,1008
F00074,AF185,AF,Air France,DXB,Dubai International Airport,Dubai,UAE,SIN,Changi Airport,Singapore,Singapore,2025-07-13 18:00,2025-07-13 23:42,5h 36m,B747,Boeing 747,Scheduled,410,356,332,498,830,1328
F00075,UA543,UA,United Airlines,LHR,Heathrow Airport,London,UK,DXB,Dubai International Airport,Dubai,UAE,2025-06-20 21:30,2025-06-21 01:50,4h 59m,A330,Airbus A330,In Air,290,115,368,552,920,1472
F00076,AF918,AF,Air France,DXB,Dubai International Airport,Dubai,UAE,LAX,Los Angeles International Airport,Los Angeles,USA,2025-06-24 02:15,2025-06-24 11:15,9h 44m,A380,Airbus A380,Cancelled,525,184,524,786,1310,2096
F00077,DL133,DL,Delta Air Lines,JFK,John F. Kennedy International Airport,New York,USA,HND,Haneda Airport,Tokyo,Japan,2025-07-04 09:00,2025-07-04 22:16,13h 35m,A350,Airbus A350,Boarding,325,290,740,1110,1850,2960
F00078,DL419,DL,Delta Air Lines,SIN,Changi Airport,Singapore,Singapore,JFK,John F. Kennedy International Airport,New York,USA,2025-06-29 03:15,2025-06-29 14:56,11h 1m,A380,Airbus A380,Landed,525,291,618,927,1545,2472
F00079,JL325,JL,Japan Airlines,LAX,Los Angeles International Airport,Los Angeles,USA,CDG,Charles de Gaulle Airport,Paris,France,2025-07-05 03:45,2025-07-05 16:01,12h 29m,A380,Airbus A380,Boarding,525,9,660,990,1650,2640
F00080,SQ629,SQ,Singapore Airlines,SYD,Sydney Airport,Sydney,Australia,CDG,Charles de Gaulle Airport,Paris,France,2025-06-28 21:15,2025-06-29 06:42,9h 26m,A380,Airbus A380,Boarding,525,395,590,885,1475,2360
F00081,DL402,DL,Delta Air Lines,DEL,Indira Gandhi International Airport,Delhi,India,CDG,Charles de Gaulle Airport,Paris,France,2025-07-05 01:30,2025-07-05 14:43,13h 1m,A320,Airbus A320,Scheduled,180,85,706,1059,1765,2824
F00082,UA240,UA,United Airlines,SYD,Sydney Airport,Sydney,Australia,CDG,Charles de Gaulle Airport,Paris,France,2025-07-01 05:30,2025-07-01 13:27,7h 19m,B787,Boeing 787,Landed,250,70,547,820,1367,2188
F00083,AF824,AF,Air France,ORD,O'Hare International Airport,Chicago,USA,HND,Haneda Airport,Tokyo,Japan,2025-06-23 10:30,2025-06-24 01:00,14h 19m,A380,Airbus A380,Scheduled,525,398,778,1167,1945,3112
F00084,QF705,QF,Qantas,HND,Haneda Airport,Tokyo,Japan,JFK,John F. Kennedy International Airport,New York,USA,2025-07-12 21:30,2025-07-13 09:45,12h 45m,B747,Boeing 747,Scheduled,410,62,772,1158,1930,3088
F00085,AF136,AF,Air France,CDG,Charles de Gaulle Airport,Paris,France,SYD,Sydney Airport,Sydney,Australia,2025-07-05 20:00,2025-07-06 05:12,9h 26m,B747,Boeing 747,Scheduled,410,294,585,877,1462,2340
F00086,QF712,QF,Qantas,SYD,Sydney Airport,Sydney,Australia,LHR,Heathrow Airport,London,UK,2025-07-10 06:15,2025-07-10 19:49,13h 23m,B747,Boeing 747,Scheduled,410,212,822,1233,2055,3288
F00087,EK800,EK,Emirates,JFK,John F. Kennedy International Airport,New York,USA,SYD,Sydney Airport,Sydney,Australia,2025-07-11 03:30,2025-07-11 13:38,10h 36m,A330,Airbus A330,Boarding,290,95,602,903,1505,2408
F00088,UA434,UA,United Airlines,DXB,Dubai International Airport,Dubai,UAE,JFK,John F. Kennedy International Airport,New York,USA,2025-07-01 02:30,2025-07-01 14:33,12h 39m,B747,Boeing 747,Cancelled,410,340,779,1168,1947,3116
F00089,BA138,BA,British Airways,DXB,Dubai International Airport,Dubai,UAE,JFK,John F. Kennedy International Airport,New York,USA,2025-07-11 23:00,2025-07-12 03:18,4h 46m,A380,Airbus A380,Delayed,525,133,264,396,660,1056
F00090,BA804,BA,British Airways,JFK,John F. Kennedy International Airport,New York,USA,SYD,Sydney Airport,Sydney,Australia,2025-07-12 01:00,2025-07-12 07:01,6h 59m,A320,Airbus A320,Scheduled,180,148,452,678,1130,1808
F00091,BA221,BA,British Airways,HND,Haneda Airport,Tokyo,Japan,SYD,Sydney Airport,Sydney,Australia,2025-06-22 13:00,2025-06-22 21:05,8h 20m,A350,Airbus A350,Scheduled,325,253,561,841,1402,2244
F00092,AA251,AA,American Airlines,SYD,Sydney Airport,Sydney,Australia,JFK,John F. Kennedy International Airport,New York,USA,2025-06-26 04:30,2025-06-26 09:37,5h 0m,B777,Boeing 777,Boarding,300,249,448,672,1120,1792
F00093,AA430,AA,American Airlines,CDG,Charles de Gaulle Airport,Paris,France,LHR,Heathrow Airport,London,UK,2025-06-20 03:15,2025-06-20 11:58,8h 38m,A350,Airbus A350,Landed,325,321,555,832,1387,2220
F00094,AF475,AF,Air France,DXB,Dubai International Airport,Dubai,UAE,SYD,Sydney Airport,Sydney,Australia,2025-06-21 16:45,2025-06-22 07:30,14h 5m,A380,Airbus A380,Delayed,525,277,754,1131,1885,3016
F00095,DL769,DL,Delta Air Lines,HND,Haneda Airport,Tokyo,Japan,JFK,John F. Kennedy International Airport,New York,USA,2025-06-30 07:45,2025-06-30 16:37,8h 59m,A380,Airbus A380,Cancelled,525,67,498,747,1245,1992
F00096,EK319,EK,Emirates,SYD,Sydney Airport,Sydney,Australia,SIN,Changi Airport,Singapore,Singapore,2025-06-25 11:15,2025-06-25 15:08,3h 49m,B777,Boeing 777,Delayed,300,290,307,460,767,1228
F00097,UA934,UA,United Airlines,LAX,Los Angeles International Airport,Los Angeles,USA,ORD,O'Hare International Airport,Chicago,USA,2025-06-17 04:15,2025-06-17 05:51,1h 40m,A330,Airbus A330,Boarding,290,259,145,217,362,580
F00098,AF403,AF,Air France,LAX,Los Angeles International Airport,Los Angeles,USA,SYD,Sydney Airport,Sydney,Australia,2025-07-09 18:00,2025-07-10 05:45,11h 27m,A380,Airbus A380,Scheduled,525,174,689,1033,1722,2756
F00099,AF507,AF,Air France,ORD,O'Hare International Airport,Chicago,USA,CDG,Charles de Gaulle Airport,Paris,France,2025-06-24 09:15,2025-06-24 21:06,11h 55m,B777,Boeing 777,Scheduled,300,281,654,981,1635,2616
F00100,UA108,UA,United Airlines,JFK,John F. Kennedy International Airport,New York,USA,CDG,Charles de Gaulle Airport,Paris,France,2025-06-21 03:45,2025-06-21 08:39,4h 8m,B747,Boeing 747,In Air,410,49,260,390,650,1040
F00101,SQ335,SQ,Singapore Airlines,LAX,Los Angeles International Airport,Los Angeles,USA,CDG,Charles de Gaulle Airport,Paris,France,2025-07-13 15:00,2025-07-13 23:54,8h 29m,B787,Boeing 787,Scheduled,250,72,528,792,1320,2112
F00102,AI710,AI,Air India,LAX,Los Angeles International Airport,Los Angeles,USA,LHR,Heathrow Airport,London,UK,2025-07-07 13:30,2025-07-08 01:52,12h 48m,B777,Boeing 777,Scheduled,300,168,686,1029,1715,2744
F00103,QF407,QF,Qantas,DXB,Dubai International Airport,Dubai,UAE,LAX,Los Angeles International Airport,Los Angeles,USA,2025-06-23 17:30,2025-06-24 02:31,9h 46m,A350,Airbus A350,In Air,325,175,620,930,1550,2480
F00104,AI474,AI,Air India,HND,Haneda Airport,Tokyo,Japan,DXB,Dubai International Airport,Dubai,UAE,2025-07-02 03:00,2025-07-02 17:54,14h 48m,A320,Airbus A320,Scheduled,180,118,779,1168,1947,3116
F00105,UA708,UA,United Airlines,LHR,Heathrow Airport,London,UK,SYD,Sydney Airport,Sydney,Australia,2025-07-04 23:45,2025-07-05 10:24,10h 43m,B737,Boeing 737,Boarding,180,106,645,967,1612,2580
F00106,DL804,DL,Delta Air Lines,ORD,O'Hare International Airport,Chicago,USA,SYD,Sydney Airport,Sydney,Australia,2025-06-22 11:30,2025-06-22 22:03,10h 47m,B777,Boeing 777,Boarding,300,55,561,841,1402,2244
F00107,UA732,UA,United Airlines,SIN,Changi Airport,Singapore,Singapore,HND,Haneda Airport,Tokyo,Japan,2025-06-22 17:15,2025-06-23 01:40,8h 43m,B777,Boeing 777,Scheduled,300,57,460,690,1150,1840
F00108,UA749,UA,United Airlines,SYD,Sydney Airport,Sydney,Australia,ORD,O'Hare International Airport,Chicago,USA,2025-07-08 23:30,2025-07-09 10:15,10h 8m,A330,Airbus A330,In Air,290,57,564,846,1410,2256
F00109,BA396,BA,British Airways,JFK,John F. Kennedy International Airport,New York,USA,SIN,Changi Airport,Singapore,Singapore,2025-06-19 02:45,2025-06-19 16:46,14h 31m,B737,Boeing 737,Delayed,180,8,818,1227,2045,3272
F00110,BA527,BA,British Airways,HND,Haneda Airport,Tokyo,Japan,DXB,Dubai International Airport,Dubai,UAE,2025-06-14 20:30,2025-06-14 23:48,3h 13m,A320,Airbus A320,Scheduled,180,125,290,435,725,1160
F00111,UA526,UA,United Airlines,DXB,Dubai International Airport,Dubai,UAE,ORD,O'Hare International Airport,Chicago,USA,2025-06-18 07:30,2025-06-18 16:39,9h 6m,B787,Boeing 787,Boarding,250,44,621,931,1552,2484
F00112,DL733,DL,Delta Air Lines,SYD,Sydney Airport,Sydney,Australia,DEL,Indira Gandhi International Airport,Delhi,India,2025-06-21 08:45,2025-06-21 11:58,3h 33m,B747,Boeing 747,Boarding,410,185,218,327,545,872
F00113,BA127,BA,British Airways,LHR,Heathrow Airport,London,UK,DEL,Indira Gandhi International Airport,Delhi,India,2025-06-30 06:30,2025-06-30 15:39,9h 21m,A380,Airbus A380,Scheduled,525,503,620,930,1550,2480
F00114,DL829,DL,Delta Air Lines,DXB,Dubai International Airport,Dubai,UAE,DEL,Indira Gandhi International Airport,Delhi,India,2025-07-13 04:30,2025-07-13 08:53,4h 17m,A320,Airbus A320,Scheduled,180,58,317,475,792,1268
F00115,QF835,QF,Qantas,DXB,Dubai International Airport,Dubai,UAE,LHR,Heathrow Airport,London,UK,2025-07-05 20:00,2025-07-06 04:35,8h 32m,B737,Boeing 737,Scheduled,180,33,465,697,1162,1860
